census_geo_id,zip_code,census_display,commute_time_mins,rank,zip_ranking,city,state,lat,long,avg_state,avg_city
8600000US63057,63057,ZCTA5 63057,1.2,1,99,LIGUORI,MO,38.33,-90.43,26.3,1.2
8600000US95646,95646,ZCTA5 95646,2.1,2,99,KIRKWOOD,CA,38.69,-120.05,27,2.1
8600000US99548,99548,ZCTA5 99548,2.1,3,99,CHIGNIK LAKE,AK,56.23,-158.74,11,2.1
8600000US99575,99575,ZCTA5 99575,2.2,4,99,CROOKED CREEK,AK,61.86,-157.99,11,2.2
8600000US99546,99546,ZCTA5 99546,2.9,5,99,ADAK,AK,51.9,-176.67,11,2.9
8600000US99781,99781,ZCTA5 99781,3,6,99,VENETIE,AK,67,-146.37,11,3
8600000US66019,66019,ZCTA5 66019,3.1,7,99,CLEARVIEW CITY,KS,38.94,-94.95,21.5,3.1
8600000US99580,99580,ZCTA5 99580,3.2,8,99,EKWOK,AK,59.35,-157.48,11,3.2
8600000US99625,99625,ZCTA5 99625,3.2,9,99,LEVELOCK,AK,58.95,-156.48,11,3.2
8600000US99636,99636,ZCTA5 99636,3.2,10,99,NEW STUYAHOK,AK,59.47,-157.27,11,3.2
8600000US84734,84734,ZCTA5 84734,3.4,11,99,HANKSVILLE,UT,38.27,-110.75,22.4,3.4
8600000US85328,85328,ZCTA5 85328,3.4,12,99,CIBOLA,AZ,33.32,-114.64,25.3,3.4
8600000US27960,27960,ZCTA5 27960,3.5,13,99,OCRACOKE,NC,35.12,-75.91,24.8,3.5
8600000US99786,99786,ZCTA5 99786,3.5,14,99,AMBLER,AK,67.08,-157.9,11,3.5
8600000US29207,29207,ZCTA5 29207,3.6,15,99,COLUMBIA,SC,34,-81.03,25.9,17.7
8600000US20373,20373,ZCTA5 20373,3.8,16,99,NAVAL ANACOST ANNEX,DC,38.89,-77.03,24.8,3.8
8600000US84764,84764,ZCTA5 84764,3.8,17,99,BRYCE,UT,37.63,-112.2,22.4,3.8
8600000US99558,99558,ZCTA5 99558,3.8,18,99,ANVIK,AK,62.63,-160.2,11,3.8
