,Neighborhood,Latitude,Longitude,Zip Code,MedianIncome,CostOfLivingIndex,MedianMortgageToIncomeRatio,OwnerOccupiedHomesPercent,MedianRoomsInHome,CollegeDegreePercent,ProfessionalPercent,Population,AverageHouseholdSize,MedianAge,MaleToFemaleRatio,MarriedPercent,DivorcedPercent,WhitePercent,BlackPercent,AsianPercent,HispanicEthnicityPercent
0,"Altgeld Gardens, Chicago, IL",41.6541653,-87.5996863,60827,32118,93.3,22.2,48.5,4.9,9.9,21.6,33132,3.0,26.5,67.4,40.5,10.2,6.9,87.3,0.2,4.1
1,"Andersonville, Chicago, IL",41.9795718,-87.67007730000002,60640,32466,196.2,20.9,23.5,3.5,38.4,42.5,73786,2.0,34.6,100.8,38.1,10.0,42.4,19.1,12.9,21.5
2,"Archer Heights, Chicago, IL",41.8079,-87.72358510000001,60632,37406,139.5,24.1,58.1,4.8,7.0,12.5,87700,3.5,27.6,101.1,54.5,5.4,25.5,0.9,2.0,70.2
3,"Armour Square, Chicago, IL",41.8407554,-87.63401859999999,60616,30625,179.9,22.9,27.1,3.7,24.1,35.2,47259,2.4,34.1,80.8,45.9,9.6,21.5,38.6,28.1,9.2
4,"Ashburn, Chicago, IL",41.7496899,-87.71200669999999,60652,53120,130.1,23.8,90.9,5.5,19.3,29.1,38992,3.0,34.0,86.0,55.0,7.4,37.4,41.6,1.2,16.7
5,"Auburn Gresham, Chicago, IL",41.7433773,-87.6561995,60620,36334,105.2,24.5,55.3,5.4,13.8,26.5,85884,3.0,35.4,72.6,38.9,11.5,3.0,94.8,0.3,0.9
6,"Avalon Park, Chicago, IL",41.7442016,-87.58557569999999,60617,35534,100.1,23.0,61.5,5.3,13.3,25.2,96287,3.0,32.1,80.2,45.5,9.4,10.3,53.4,0.4,34.3
7,"Avondale, Chicago, IL",41.9415011,-87.70250209999999,60618,41355,220.3,24.8,38.2,4.8,23.6,28.3,98059,2.8,31.3,96.1,48.2,8.8,39.5,2.7,4.7,49.4
8,"Avondale Gardens, Chicago, IL",41.9651348,-87.75257959999999,60630,47905,199.6,23.3,63.6,5.1,21.9,31.3,54812,2.5,38.2,87.8,53.5,8.1,72.2,0.4,8.0,16.4
9,"Back of the Yards, Chicago, IL",41.8066775,-87.6679765,60609,25705,103.7,24.2,34.4,4.8,7.5,15.4,79592,3.4,25.2,89.8,42.6,7.1,15.8,39.2,1.2,42.7
