,Neighborhood,Latitude,Longitude,Zip Code,MedianIncome,CostOfLivingIndex,MedianMortgageToIncomeRatio,OwnerOccupiedHomesPercent,MedianRoomsInHome,CollegeDegreePercent,ProfessionalPercent,Population,AverageHouseholdSize,MedianAge,MaleToFemaleRatio,MarriedPercent,DivorcedPercent,WhitePercent,BlackPercent,AsianPercent,HispanicEthnicityPercent
0,"Baylor District, Dallas, TX",32.7893418,-96.77951530000001,75246,21468,92.4,29.6,11.3,3.0,17.6,15.8,4686,3.1,32.5,128.6,43.6,6.5,27.8,12.6,1.6,55.9
1,"The Cedars, Dallas, TX",32.7651238,-96.78937069999999,75215,16043,39.4,25.9,33.6,4.3,6.4,17.7,18643,2.6,34.4,78.9,34.3,13.7,2.4,84.0,0.1,12.1
2,"Dallas Arts District, Dallas, TX",32.7897314,-96.79826159999999,75201,56675,311.3,15.6,10.8,3.3,63.5,66.1,3324,1.6,30.0,112.0,31.5,11.6,68.8,19.4,2.2,7.6
3,"Deep Ellum, Dallas, TX",32.7843924,-96.7801849,75226,38911,441.5,32.5,1.0,2.6,34.5,40.9,2693,2.5,29.6,184.3,45.2,9.0,37.8,11.4,1.8,48.5
4,"Thanksgiving Commercial Center, Dallas, TX",32.8685382,-96.7735105,75225,98838,485.0,21.0,76.9,6.8,74.9,66.0,20157,2.3,41.7,78.4,65.6,7.9,95.9,0.0,0.7,2.2
5,"Uptown, Dallas, TX",32.8015565,-96.8002704,75204,40649,150.1,21.5,18.1,3.3,40.7,46.3,20718,2.1,29.7,131.3,37.3,9.5,37.9,11.5,4.7,44.8
6,"Belmont, Dallas, TX",32.7693056,-96.8368582,75208,35135,82.2,19.5,51.2,4.6,18.3,24.3,35800,3.2,29.1,110.8,53.4,8.1,22.4,4.1,0.4,71.6
7,"Buckner Terrace, Dallas, TX",32.7919577,-96.69999279999999,75228,33685,82.6,21.3,49.7,4.7,16.4,24.6,65884,2.7,30.8,86.4,51.5,12.0,37.3,24.5,4.3,32.1
8,"Caruth Terrace, Dallas, TX",32.8400815,-96.7571387,75214,49878,192.6,19.6,53.0,5.1,48.7,49.5,35533,2.2,34.8,95.6,50.4,10.6,65.6,4.1,1.4,27.2
9,"Casa Linda Estates, Dallas, TX",32.8295,-96.69856809999999,75218,50652,134.9,19.6,67.8,5.5,37.7,48.2,21682,2.2,39.7,87.0,54.7,12.6,75.1,4.8,0.7,17.0
10,"Edgemont Park, Dallas, TX",32.7397335,-96.61705459999999,75149,48245,84.3,19.8,68.8,5.3,13.4,26.6,54541,2.9,31.2,85.5,59.6,12.2,63.0,14.9,2.6,16.6
11,"Gaston Park, Dallas, TX",33.0513673,-97.07018049999999,75028,91855,179.9,20.3,92.1,7.3,51.0,54.5,36393,3.1,32.9,96.1,75.2,6.5,86.4,3.1,2.6,5.4
12,"Greenland Hills, Dallas, TX",32.8266551,-96.7775073,75206,41475,147.0,19.9,21.8,3.7,47.8,47.2,39693,1.9,29.5,126.2,37.6,9.9,53.9,4.3,2.9,36.0
13,"Hillridge, Dallas, TX",32.9271078,-96.53723529999999,75089,70821,128.0,21.3,93.6,6.4,32.9,48.2,18267,3.0,31.6,95.3,75.1,7.2,75.4,9.3,3.1,9.8
14,"Hollywood Heights, Dallas, TX",32.8063685,-96.7401249,75223,28607,61.9,21.1,50.5,4.5,14.5,23.0,15813,3.3,27.5,103.0,53.1,7.2,14.6,19.8,1.1,63.6
15,"Lake Park Estates, Dallas, TX",32.9796716,-96.7637345,75080,55973,134.9,19.9,60.0,5.7,46.2,49.1,43244,2.5,35.6,90.0,58.9,9.8,72.7,4.7,6.8,13.2
16,"Santa Monica, Dallas, TX",32.8786728,-96.8394627,75220,33515,112.4,20.7,31.0,3.5,15.1,15.8,50597,3.4,26.2,121.9,55.4,5.8,16.6,5.2,0.8,76.6
17,"University Meadows, Dallas, TX",32.8410948,-96.7861547,75205,73153,631.3,21.8,51.6,5.3,73.0,60.7,24156,2.4,32.5,87.7,45.5,8.6,89.1,1.5,2.1,5.9
18,"Abrams Place, Dallas, TX",32.8770417,-96.74187049999999,75231,30090,177.9,18.6,13.1,3.2,26.1,26.6,52363,2.3,27.6,113.3,45.6,11.0,27.9,27.0,1.7,40.3
19,"Boundbrook Oaks Estates, Dallas, TX",32.896589,-96.757252,75243,37149,141.0,20.8,26.8,3.7,37.3,38.7,59610,2.1,30.3,93.7,45.6,13.9,39.2,32.7,10.0,14.8
20,"Country Forest, Dallas, TX",32.9105334,-96.81754819999999,75244,51074,194.9,19.4,39.8,4.7,41.7,41.6,17206,2.3,33.7,98.7,54.4,12.0,56.2,9.1,6.7,26.3
21,"Glen Oaks, Dallas, TX",32.6795299,-96.83232319999999,75232,39824,83.8,21.3,71.6,5.5,18.5,25.2,28773,2.9,33.7,77.7,51.0,11.5,9.1,76.1,0.3,13.7
