,Neighborhood,Latitude,Longitude,Zip Code,MedianIncome,CostOfLivingIndex,MedianMortgageToIncomeRatio,OwnerOccupiedHomesPercent,MedianRoomsInHome,CollegeDegreePercent,ProfessionalPercent,Population,AverageHouseholdSize,MedianAge,MaleToFemaleRatio,MarriedPercent,DivorcedPercent,WhitePercent,BlackPercent,AsianPercent,HispanicEthnicityPercent
0,"Argyle, Jacksonville, FL",30.1969209,-81.7562816,32244,41769,89.6,21.0,70.9,5.4,14.0,25.8,46852,2.7,31.8,91.3,58.0,15.0,65.7,20.8,4.6,5.4
1,"Avondale, Jacksonville, FL",30.2967693,-81.7103155,32205,34579,76.4,20.0,58.0,5.3,21.7,33.6,30128,2.2,35.2,88.8,47.5,15.7,71.0,20.1,2.8,3.2
2,"Cedar Hills, Jacksonville, FL",30.253614,-81.7561379,32210,39095,79.4,20.0,63.2,5.5,17.9,26.4,58345,2.5,33.8,88.9,54.3,14.1,65.4,24.3,2.8,4.9
3,"Marietta, Jacksonville, FL",30.3343974,-81.8024796,32220,41622,82.8,20.3,85.8,5.7,6.0,18.7,10583,2.7,35.4,99.6,61.7,12.3,91.8,3.6,0.6,1.6
4,"Riverside, Jacksonville, FL",30.3129035,-81.6938933,32204,23957,79.3,20.9,34.0,4.4,17.7,25.5,7733,2.3,35.9,79.6,34.1,17.2,44.7,49.6,1.9,1.0
5,"Paxon, Jacksonville, FL",30.33858219999999,-81.7376778,32254,25807,51.8,22.5,63.8,5.1,4.3,11.7,14801,2.7,32.0,83.1,47.4,16.5,44.6,51.2,0.6,1.3
6,"Dinsmore, Jacksonville, FL",30.4238141,-81.77323349999999,32219,36961,72.9,22.9,80.9,5.6,10.3,22.8,9573,2.6,36.6,89.3,58.1,10.5,55.8,41.8,0.2,0.7
7,"Garden City, Jacksonville, FL",30.4407937,-81.698988,32218,40691,82.4,21.6,70.6,5.5,12.5,23.9,37894,2.7,34.0,85.5,56.4,13.7,56.9,38.9,0.5,1.8
8,"Durkeeville, Jacksonville, FL",30.34531429999999,-81.6742659,32209,22202,53.7,25.7,58.5,5.1,9.4,18.5,39739,2.6,35.1,71.0,35.3,14.4,1.1,97.4,0.1,0.4
9,"Arlington, Jacksonville, FL",30.3165143,-81.5588539,32216,41354,88.9,18.4,63.5,5.4,19.0,30.5,29375,2.5,35.9,86.0,55.5,13.2,71.0,19.5,2.3,5.6
10,"Baymeadows, Jacksonville, FL",30.2367222,-81.5591584,32256,45460,198.0,20.1,31.9,4.3,45.2,49.5,29254,2.0,31.4,96.8,49.2,13.0,71.5,12.0,7.0,6.5
11,"Lakewood, Jacksonville, FL",30.2635999,-81.6391263,32207,35568,91.2,20.6,56.4,5.2,26.6,34.3,33773,2.2,37.2,84.7,48.9,15.5,70.1,20.8,1.9,4.6
12,"Mandarin, Jacksonville, FL",30.1527497,-81.65282189999999,32223,66079,146.9,19.6,82.7,6.4,37.9,45.3,25424,2.6,38.1,91.4,66.4,10.7,88.7,4.5,1.6,3.5
13,"Sandalwood, Jacksonville, FL",30.3105172,-81.50824890000001,32246,43672,90.8,20.9,69.7,5.5,17.1,26.8,36012,2.7,31.7,93.0,58.2,14.0,68.3,16.8,5.5,6.3
14,"Springfield, Jacksonville, FL",30.3448058,-81.6555607,32206,17169,47.0,24.4,41.4,4.7,7.0,16.5,21217,2.5,34.3,87.5,36.8,15.2,15.3,81.1,0.3,1.6
