,Neighborhood,Latitude,Longitude,Zip Code,MedianIncome,CostOfLivingIndex,MedianMortgageToIncomeRatio,OwnerOccupiedHomesPercent,MedianRoomsInHome,CollegeDegreePercent,ProfessionalPercent,Population,AverageHouseholdSize,MedianAge,MaleToFemaleRatio,MarriedPercent,DivorcedPercent,WhitePercent,BlackPercent,AsianPercent,HispanicEthnicityPercent
0,"Bay Ho, San Diego, CA",32.82424290000001,-117.217637,92117,47245,241.2,26.1,58.9,5.0,31.2,41.3,51197,2.4,37.7,93.2,52.2,11.5,69.3,1.6,9.0,15.7
1,"Carmel Valley, San Diego, CA",32.9398273,-117.2029363,92130,93929,491.3,25.0,77.1,6.1,72.9,70.4,28172,2.6,35.9,89.2,65.5,9.6,76.1,0.7,13.9,5.9
2,"Del Mar Heights, San Diego, CA",32.9483783,-117.2608701,92014,97029,748.5,25.2,72.3,5.9,71.3,68.5,14084,2.2,44.4,95.8,60.5,13.1,88.2,1.0,4.4,4.1
3,"La Jolla, San Diego, CA",32.8328112,-117.2712717,92037,68691,682.8,26.4,61.1,5.1,67.7,63.8,42826,2.4,38.4,90.8,48.1,9.4,77.9,0.7,11.2,7.1
4,"Mission Beach, San Diego, CA",32.7706526,-117.2514447,92109,45202,373.7,29.2,29.8,3.7,50.8,48.1,45834,1.9,30.9,122.6,30.7,10.9,81.5,1.3,3.0,10.3
5,"University City, San Diego, CA",32.8577324,-117.2054294,92122,52039,349.3,23.9,40.5,4.1,64.2,64.8,34756,2.0,33.8,90.4,46.3,8.7,69.3,1.1,18.7,6.8
6,"Black Mountain Ranch, San Diego, CA",33.0019017,-117.1382404,92127,75219,295.2,22.7,62.4,5.5,50.6,53.7,19907,2.8,34.9,86.8,62.1,9.1,72.1,1.8,13.1,8.1
7,"Carmel Mountain Ranch, San Diego, CA",32.9805356,-117.0735241,92128,66676,288.0,25.1,71.6,5.4,50.7,55.9,42642,2.2,41.8,82.8,64.2,9.8,74.8,1.5,14.3,6.1
8,"Mira Mesa, San Diego, CA",32.9184763,-117.1382404,92126,60229,220.9,24.7,61.0,4.9,32.2,42.0,74274,3.2,30.9,99.9,55.6,7.3,41.0,5.1,36.4,11.1
9,"Rancho Encantada, San Diego, CA",32.934381,-117.0029015,92131,90811,374.6,25.3,87.1,6.7,62.6,64.2,29377,2.8,35.4,94.9,70.1,8.6,73.5,2.5,13.3,6.6
10,"Rancho Peñasquitos, San Diego, CA",32.9657005,-117.1147095,92129,77851,314.2,23.7,72.1,6.3,50.9,53.2,47218,3.1,34.3,91.1,66.6,7.5,57.8,2.9,26.2,7.9
11,"San Pasqual Valley, San Diego, CA",33.0831683,-116.9911288,92027,46077,188.0,26.0,63.6,5.0,19.3,28.3,48581,3.0,32.1,93.1,57.0,10.5,56.3,1.6,3.5,35.3
12,"Sorrento Valley, San Diego, CA",32.9000226,-117.1894828,92121,70750,348.7,23.3,56.4,5.2,71.6,68.9,4428,2.3,30.6,104.2,49.1,6.8,63.0,0.2,27.1,5.0
13,"Birdland, San Diego, CA",32.7923929,-117.1529458,92123,49646,226.4,24.5,52.5,5.1,29.6,40.8,25207,2.7,31.3,89.1,55.0,11.2,58.0,8.6,11.7,14.5
14,"Kearny Mesa, San Diego, CA",32.8283909,-117.1441227,92111,42774,213.7,24.1,52.1,4.8,25.9,35.6,47011,2.7,34.3,96.3,49.8,11.9,49.6,5.3,18.4,22.1
15,"Mission Valley East, San Diego, CA",32.7742488,-117.1411815,92108,42626,141.9,23.3,32.3,3.3,49.2,48.0,11635,1.7,31.9,101.8,32.4,14.7,68.7,4.3,6.8,13.5
16,"Navajo (Allied Gardens, San Diego, CA",32.8029665,-117.0322477,92119,55973,241.8,23.0,73.1,5.7,36.0,45.6,21883,2.4,41.7,84.7,58.3,11.3,80.1,2.9,3.8,9.6
17,"Del Cerro, San Diego, CA",32.7868431,-117.0646976,92120,57461,256.6,25.3,76.4,5.7,39.9,46.5,25644,2.3,43.1,90.3,58.6,10.9,80.4,3.0,4.9,8.5
18,"Tierrasanta, San Diego, CA",32.825809,-117.1039876,92124,59164,297.6,24.7,51.0,5.7,44.2,53.1,30165,2.8,31.3,96.6,64.1,9.9,65.2,7.6,9.6,10.5
19,"Burlingame, San Diego, CA",32.7316217,-117.127946,92104,31139,200.5,26.5,26.6,3.7,24.1,34.1,47380,2.2,32.3,107.0,36.9,13.4,42.9,11.8,4.7,34.8
20,"Hillcrest (Marston Hills), San Diego, CA",32.7435314,-117.1580924,92103,39578,358.2,25.8,31.3,3.7,49.3,55.3,30055,1.7,39.3,109.1,31.7,15.6,78.2,2.1,3.3,12.9
21,"Morena, San Diego, CA",32.767107,-117.1941153,92110,40642,272.6,24.3,44.4,4.1,38.1,42.3,23961,2.2,34.3,100.6,44.3,12.3,72.3,3.9,5.5,14.4
22,"Ocean Beach, San Diego, CA",32.7494988,-117.2470353,92107,42660,356.2,27.7,37.0,3.9,42.5,44.8,27845,1.9,34.5,108.7,39.5,14.4,83.5,1.0,1.8,8.9
23,"Point Loma (La Playa, San Diego, CA",32.712273,-117.2453141,92106,62121,471.5,26.2,67.9,5.7,48.6,51.2,18694,2.6,38.4,107.9,52.4,9.2,86.5,1.8,1.7,6.5
24,"University Heights, San Diego, CA",32.7572059,-117.1470637,92116,35401,240.3,24.3,29.9,3.9,33.4,40.9,33068,2.0,34.3,101.1,36.6,16.7,56.3,10.3,4.4,24.3
25,"Downtown (Columbia, San Diego, CA",32.7181664,-117.1632389,92101,23762,310.2,26.1,12.0,2.1,28.0,37.6,27178,2.3,34.5,189.9,27.4,17.5,58.8,9.7,5.6,21.5
26,"Barrio Logan, San Diego, CA",32.6929806,-117.1367698,92113,23841,128.4,29.6,33.0,3.4,4.1,11.6,47479,3.9,24.5,89.9,47.9,7.5,2.8,16.7,3.0,75.1
27,"Golden Hill, San Diego, CA",32.7165006,-117.1367698,92102,26505,150.5,26.5,29.4,3.4,12.7,20.0,47250,3.3,27.0,101.7,44.6,9.0,14.6,14.0,5.0,62.8
28,"City Heights, San Diego, CA",32.7402624,-117.1009481,92105,25593,141.1,26.9,31.1,3.5,7.6,15.4,73477,3.4,26.0,95.1,49.3,8.7,14.9,14.1,17.2,48.7
29,"College Area, San Diego, CA",32.770779,-117.0697667,92115,31666,200.6,26.4,38.3,4.1,26.5,32.2,56885,2.7,26.9,100.5,42.1,8.8,47.1,10.5,12.6,24.0
30,"Alta Vista, San Diego, CA",32.6925534,-117.0683753,92114,46189,164.2,27.1,72.0,5.3,15.4,24.2,66626,3.8,31.0,86.9,54.6,8.4,11.1,28.6,24.1,29.9
31,"Bay Terraces, San Diego, CA",32.6858257,-117.0382158,92139,49032,173.3,26.4,61.9,5.0,21.4,28.4,36383,3.4,30.8,90.5,60.1,8.3,18.1,14.1,34.0,28.0
32,"Jamacha, San Diego, CA",32.7417198,-116.9114137,92019,56486,251.6,26.2,71.4,5.6,25.2,36.4,41192,2.8,36.2,90.6,59.2,10.6,75.8,2.6,3.1,13.2
33,"Border, San Diego, CA",32.5444156,-117.0301235,92173,27943,167.5,28.7,35.7,3.9,5.9,16.2,28471,3.8,25.9,79.0,55.0,6.3,5.3,1.6,2.5,89.1
34,"Egger Highlands, San Diego, CA",32.5884561,-117.0970596,92154,42970,172.0,24.7,62.2,4.9,11.1,21.5,68724,4.1,31.2,115.2,62.1,6.6,19.2,6.9,15.1,55.0
