,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,True Food Kitchen,32.86409171167306,-96.80342328836059,Juice Bar
1,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,R & D Kitchen,32.86335476960144,-96.80276423001706,American Restaurant
2,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Hillstone Restaurant,32.86304711199237,-96.80379965026867,American Restaurant
3,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Sprinkles Cupcakes,32.86454799174657,-96.80319644139837,Cupcake Shop
4,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Hopdoddy Burger Bar,32.863413,-96.806825,Burger Joint
5,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Flying Fish,32.86367291381428,-96.80553035787466,Seafood Restaurant
6,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Preston Center,32.864053859957245,-96.80466229589847,Shopping Mall
7,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,SusieCakes,32.86344142484129,-96.80647361264056,Bakery
8,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Diamond Doctor,32.861908740110536,-96.80438398301767,Jewelry Store
9,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Corner Bakery Cafe,32.865016,-96.802679,Bakery
10,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Nick & Sam's Grill,32.861157981018444,-96.8043544703179,American Restaurant
11,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Montlake Cut,32.863325923974934,-96.80645377223732,Seafood Restaurant
12,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Panini Bakery & Cakes,32.86224984459219,-96.80714357200685,Bakery
13,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,DSW Designer Shoe Warehouse,32.8646848,-96.8074712,Shoe Store
14,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Jersey Mike's Subs,32.864611,-96.804744,Sandwich Place
15,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Yolk Preston Center,32.86406398840635,-96.80670877812561,Breakfast Spot
16,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Sevys,32.862361258346205,-96.80469388683326,American Restaurant
17,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Sprinkles Ice Cream,32.86468022497364,-96.80313266359411,Ice Cream Shop
18,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Starbucks,32.86533544452394,-96.80508601682357,Coffee Shop
19,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Spec's,32.86154219690526,-96.80443582835613,Liquor Store
20,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Sprinkles Cupcake ATM,32.86462836555992,-96.80306801382832,Cupcake Shop
21,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Pei Wei,32.863793,-96.806782,Asian Restaurant
22,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Jamba Juice,32.865173,-96.80674,Juice Bar
23,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Gold's Gym,32.8646901,-96.8083849,Gym / Fitness Center
24,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Roti Modern Mediterranean,32.863786,-96.806754,Mediterranean Restaurant
25,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Tom Thumb,32.86365342058137,-96.80215448141098,Grocery Store
26,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Salata,32.8639434,-96.8067261,Salad Place
27,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Nekter Juice Bar,32.86480035794466,-96.80206898293194,Juice Bar
28,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Carlo's Bake Shop,32.86444568767452,-96.80440262660252,Bakery
29,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Swoozie's,32.864834945793355,-96.80312982624841,Gift Shop
30,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Marshalls,32.86470722947066,-96.80683752761269,Department Store
31,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,SoulCycle Preston Hollow,32.86532746116486,-96.80619965397354,Cycle Studio
32,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Adrift Float Spa,32.86417688442463,-96.80429378524741,Spa
33,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,TOOTSIES,32.86368974369998,-96.80412057799832,Shoe Store
34,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Tu-Lu's Gluten Free Bakery,32.862217826692024,-96.8072590027163,Cupcake Shop
35,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Target,32.864491,-96.807364,Big Box Store
36,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Southpaw's Organic Café,32.86500931051524,-96.80804289453104,Café
37,"Northwood Hills, Dallas, TX",32.8639981,-96.80373320000001,Park City Club,32.86200569640363,-96.80986286850263,American Restaurant
