,Cluster Labels,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,22,"Abrams Place, Dallas, TX",32.8770417,-96.74187049999999,Taco Place,Mexican Restaurant,Fast Food Restaurant,Pizza Place,Discount Store,Convenience Store,Breakfast Spot,Thai Restaurant,Fried Chicken Joint,Donut Shop
1,23,"Alexander's Village, Dallas, TX",32.8363807,-96.8059075,Mexican Restaurant,Pizza Place,Taco Place,Fast Food Restaurant,Discount Store,Sandwich Place,Convenience Store,Bar,Breakfast Spot,Dive Bar
2,22,"Alta Park, Dallas, TX",32.6576534,-96.77505099999999,Grocery Store,Fried Chicken Joint,Discount Store,Southern / Soul Food Restaurant,Golf Course,Dry Cleaner,Shoe Store,BBQ Joint,Pharmacy,Mexican Restaurant
3,7,"Alta Vista, San Diego, CA",32.6925534,-117.0683753,Liquor Store,Filipino Restaurant,Convenience Store,Video Store,Restaurant,Smoke Shop,Basketball Court,Mexican Restaurant,Vape Store,Fabric Shop
4,16,"Altgeld Gardens, Chicago, IL",41.6541653,-87.5996863,Park,Food Service,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Eye Doctor
5,29,"Andersonville, Chicago, IL",41.9795718,-87.67007730000002,Lounge,Coffee Shop,Breakfast Spot,Grocery Store,Sushi Restaurant,Sandwich Place,Burger Joint,Italian Restaurant,Middle Eastern Restaurant,Korean Restaurant
6,21,"Arcadia Park, Dallas, TX",32.7495751,-96.91055999999999,Hotel,Mexican Restaurant,Fast Food Restaurant,Video Store,Taco Place,Burger Joint,Trail,Coffee Shop,Pizza Place,Pharmacy
7,27,"Archer Heights, Chicago, IL",41.8079,-87.72358510000001,Mexican Restaurant,Gas Station,Bakery,Nightclub,Rental Car Location,Video Game Store,Video Store,Auto Garage,Restaurant,Mobile Phone Shop
8,29,"Argyle, Jacksonville, FL",30.1969209,-81.7562816,Fast Food Restaurant,Sandwich Place,Grocery Store,Department Store,Seafood Restaurant,Breakfast Spot,Gym / Fitness Center,Convenience Store,Mexican Restaurant,Warehouse Store
9,29,"Arlington Park, Dallas, TX",32.815543,-96.8505516,Coffee Shop,Convenience Store,Pizza Place,Sporting Goods Shop,Mexican Restaurant,Liquor Store,Sandwich Place,Fast Food Restaurant,Nightclub,Big Box Store
